p1,p2,p3
277,2382,1207
2382,277,526
1118,1429,223
1640,1429,526
1429,793,1710
1429,1640,793
2195,2239,2403
1515,1561,223
1515,1429,1710
1429,1515,223
1898,348,260
1129,1898,143
1898,1129,348
1922,1118,223
60,1922,223
2382,1922,1207
1922,2382,1118
1256,60,223
1256,1561,1523
1561,1256,223
52,1156,1519
1156,52,44
462,52,1519
52,462,44
462,1645,44
866,1645,462
348,866,260
866,462,260
375,1955,1904
2291,375,1904
375,1387,524
375,2291,1387
1955,499,1651
375,499,1955
1837,499,1618
1618,499,524
499,375,524
1834,1837,1618
1496,1955,1651
834,1496,1651
1955,1496,2222
1496,127,2222
453,2208,771
1944,453,771
1638,453,1482
855,2469,2169
1944,855,2169
576,1625,203
1625,2079,203
2078,1625,2426
1625,2078,2079
856,1914,1482
2613,2614,2157
373,2610,2611
2610,373,507
803,2072,2239
875,2518,2519
2518,875,1758
198,875,2028
875,2520,2028
5,244,1758
5,198,244
875,5,1758
5,875,198
97,1136,2121
838,97,2121
2526,219,2525
2526,1484,219
219,591,1840
196,591,219
591,1513,1840
591,1780,1513
1409,117,909
90,117,1751
117,90,909
167,351,1654
167,161,351
161,167,909
167,1780,909
1555,164,1751
117,1555,1751
164,1555,2531
164,2532,2432
2532,164,2531
2529,2530,788
1555,2530,2531
2530,1555,788
1247,1901,2524
1901,1247,1854
1247,397,1854
1247,2524,2525
1840,1247,2525
397,1247,1840
364,2518,1758
1432,1091,1660
1091,2699,2500
2501,1091,2500
1091,747,1660
747,1091,2501
1973,1290,1581
1142,1290,1973
1290,1142,747
1642,890,1973
890,1142,1973
890,1642,616
1142,890,631
890,23,631
1097,1322,1627
922,1097,1627
291,2183,2247
2183,291,1377
2247,2183,1654
2183,1377,1654
801,1921,1455
291,801,1455
1921,801,2433
2037,1194,1277
2037,177,934
177,2037,1277
1787,119,1967
119,1787,1563
34,908,1172
934,1323,2433
1323,1530,2433
177,1323,934
1323,177,1920
579,1323,1920
1530,1323,579
1233,550,2286
550,1233,1816
335,550,1816
403,335,798
335,1816,798
550,335,579
335,403,2095
579,335,2095
519,2236,1653
623,2236,715
1502,2415,1895
96,812,1358
828,2125,1835
2125,828,1546
1676,246,1629
2080,893,1497
1872,893,1702
893,2080,1702
1816,863,798
509,2254,2216
509,654,1046
654,509,2216
1872,1827,1046
1827,509,1046
509,1827,2254
1827,16,1039
2254,1827,1039
1827,1872,1702
16,1827,1702
255,16,1702
255,734,16
965,255,1702
734,255,965
785,1041,1388
1887,1041,785
1919,881,1388
1919,1064,881
1041,1919,1388
1919,1041,1887
1919,1887,1412
1064,1919,1412
1133,1508,2377
1508,1133,668
1486,616,2004
1486,2083,616
41,1486,2004
1486,41,2083
1191,2083,1271
907,1191,1271
1191,907,2066
2083,1191,616
56,411,1076
173,411,913
411,998,913
411,56,998
333,2504,2505
1462,411,173
1462,173,1973
2391,1462,1973
1462,1657,1076
411,1462,1076
2508,766,2507
1657,766,630
1265,2038,1076
1949,2511,2512
2511,1949,2252
706,1949,2512
1949,706,2252
2510,2511,2252
2510,2267,2509
2267,2510,2252
2021,2267,2252
2021,706,1116
706,2021,2252
1085,2021,1116
2021,1085,993
2111,1935,342
1935,2111,2128
2148,1935,2128
532,728,924
532,1935,2148
728,532,2013
1935,532,342
1284,2128,1262
1284,2148,2128
1927,298,1800
1262,1927,1800
699,1927,1262
298,1927,1265
2038,1927,699
1927,2038,1265
38,548,285
548,854,285
548,38,1653
854,548,623
2236,548,1653
548,2236,623
285,1464,1990
854,1464,285
2131,1470,1483
1470,2131,160
1503,2131,1483
379,2212,2042
379,1470,2212
1470,379,1483
1917,514,2299
514,1917,984
514,2496,2299
2496,514,89
514,984,89
1155,1911,1612
1911,1155,77
77,1155,2299
1917,1155,1612
1155,1917,2299
1911,1130,251
1130,1911,77
1130,77,690
251,1130,547
1911,278,1612
2265,441,824
1841,153,2455
153,214,2455
624,43,938
43,2265,824
624,1022,869
51,1022,1781
1022,624,1781
1022,2217,869
2551,2552,412
2552,1607,412
1607,2552,2379
2081,2552,2553
2552,2081,2379
1584,724,412
1607,1584,412
1584,1607,802
1720,1584,802
125,1584,1892
1584,1720,1892
1521,2548,2549
1300,287,1400
1300,953,287
361,1300,1400
953,1300,361
2269,545,1586
1688,2269,1586
545,2269,600
2269,11,600
11,2269,1040
2269,1688,1040
978,341,1272
978,600,782
978,782,205
545,978,1272
978,545,600
1363,978,205
978,1363,341
1908,837,2545
1164,76,2033
1828,1164,2033
131,2539,423
1576,131,423
2539,131,2538
131,1576,2538
1723,2132,745
1723,1363,205
1507,2298,1238
1192,85,1036
85,558,1894
1475,85,1894
1018,570,676
1018,676,2495
1590,175,1386
175,1590,1526
401,254,1749
894,401,1749
401,1590,1386
1590,401,894
1366,894,1266
1366,1062,1436
1366,1266,1062
284,1769,1203
1769,770,1203
1062,1769,284
1266,1769,1062
1192,428,1730
428,1012,1730
428,1192,1036
1012,428,1036
770,1122,1815
1122,1966,1815
1122,1266,1749
1966,1122,1749
123,857,2227
1299,123,2227
1450,588,1299
366,1883,410
1883,933,410
135,946,752
933,1463,410
1463,2406,1370
1463,933,2406
2030,946,135
2030,1386,2361
2030,135,1386
456,437,482
2422,2129,1835
2125,2422,1835
2422,1690,2393
2129,2422,2393
1594,2125,1546
1369,247,1263
2084,36,2328
349,1792,1395
1514,2325,1792
349,1514,1792
1514,349,945
679,407,1748
407,679,635
679,1924,635
906,351,635
1924,906,635
906,1977,351
811,1828,2033
615,811,2033
1246,679,1748
679,1246,1924
1725,895,984
984,895,89
2259,895,1017
895,1037,89
895,2259,1037
614,1917,1612
278,614,1612
1430,986,744
2104,1430,744
986,1430,1474
2100,2104,744
2104,2100,1417
1315,2059,1417
1602,1025,2275
2275,920,2065
920,667,2065
1025,920,2275
920,1025,159
258,920,159
667,920,549
920,258,549
138,258,159
138,490,640
2168,1469,2275
1210,2275,2065
1210,2168,2275
156,1850,523
415,226,774
1757,1602,2275
1602,1757,1286
694,1757,2275
1757,694,1286
2068,667,549
2068,632,667
1632,2068,549
1189,301,1933
301,1189,1929
927,1189,1933
2110,1189,927
263,1444,284
263,284,2191
2182,263,2191
263,1213,1444
79,2182,1929
1225,778,2110
1189,778,1929
778,1189,2110
2263,213,1856
778,2263,1856
2263,778,1225
609,810,2110
810,1225,2110
810,2263,1225
213,810,184
2263,810,213
1310,413,394
557,1019,583
1019,1850,583
64,710,2154
710,145,2154
145,710,1954
130,1715,2105
469,2346,331
528,1378,722
2324,1744,1517
1744,1895,2492
1517,1744,2492
1956,218,2324
1502,1228,1358
180,1342,1517
1472,1342,180
1786,1472,2330
1472,180,2330
2101,758,1269
972,2101,1269
1507,449,2298
975,1964,13
485,975,13
975,2673,2274
2499,2668,1598
2499,2667,2668
1665,2499,1598
2668,653,1598
2669,653,2668
2670,2671,1114
220,418,1193
418,220,670
220,1401,670
