p1,p2,p3
706,313,1416
313,174,1416
1313,1647,1121
1313,2179,1144
1313,1121,2179
2349,1313,1144
1313,2349,1417
1121,1520,105
1647,1520,1121
398,2053,2368
853,2295,435
2053,2295,2205
2295,174,2205
2295,853,174
2295,1746,435
1746,2295,761
2295,398,761
2295,2053,398
2590,853,2589
174,2590,2591
853,2590,174
918,1241,2127
839,1241,918
1246,824,1731
1063,1246,1731
1246,1271,824
1246,1063,1271
1802,2022,856
1077,1802,1731
2022,1802,1077
856,1352,1790
2022,1352,856
1352,2022,1219
1352,1972,1790
1352,1219,1972
2622,330,2621
218,1021,1445
1021,809,1445
1021,218,2620
1021,2620,2621
330,1021,2621
345,802,1637
802,2601,1637
2601,802,2600
802,777,2600
777,802,2384
802,1940,2384
2604,1420,28
2605,1420,2604
1420,189,28
189,1420,2605
2610,1316,2609
1316,2610,2611
1568,659,481
189,1568,481
1568,189,2606
2607,1568,2606
1568,2607,659
1316,244,2609
481,2312,114
2312,1316,114
2312,244,1316
659,2219,481
1597,2219,659
2219,2312,481
244,2219,1597
2312,2219,244
2607,2608,659
2608,1597,659
244,2608,2609
2608,244,1597
926,1932,97
470,1351,1094
233,2794,46
471,1259,2420
813,570,725
1580,2790,2119
708,2790,2791
1580,32,2167
32,1580,314
1034,843,760
843,1034,417
2259,2283,297
128,2479,604
2479,2194,604
833,505,670
505,2354,670
505,833,2194
505,857,793
209,120,2397
2790,2789,2119
2789,2790,708
2789,2788,2119
2788,2789,1423
1452,1779,565
1779,1423,565
650,2296,565
40,2363,2448
40,2448,2138
40,637,2791
2363,40,1580
2790,40,2791
40,2790,1580
1808,655,1993
2377,1808,1993
1808,2377,670
2354,1808,670
1406,1808,2354
286,1097,100
1097,286,827
1176,1027,2327
1027,1176,2011
183,1027,2011
1027,183,1798
2327,1824,578
1704,1824,2327
578,1824,2900
1824,1704,2900
1365,2042,1198
2042,1365,288
2042,2297,1198
2297,2042,288
1355,1781,1198
1355,786,1781
786,1355,830
88,1588,111
111,1588,830
1588,786,830
786,1588,1781
1588,88,1781
2809,1366,2808
567,1047,490
1147,2798,111
70,2799,1278
2799,2798,1278
2798,2799,111
2150,1003,1625
1401,2150,1625
2150,1401,164
2567,2150,164
2150,2567,2568
85,1634,400
1634,649,400
1634,85,452
649,1634,452
673,106,2573
1335,673,77
673,1335,1232
2294,2324,106
2324,1065,452
2324,2294,1065
444,2434,353
2434,444,106
2324,2434,106
2566,164,2565
2566,2567,164
167,681,1119
1003,1506,1625
632,1506,1003
1506,167,1625
167,1506,632
1055,889,1685
1055,649,679
1686,1055,679
889,1055,1686
423,163,1862
163,423,1228
414,1133,2562
1004,414,2562
710,414,1004
414,2191,1133
1439,1162,428
2191,1439,428
1146,1631,740
1631,462,740
462,1631,816
818,462,480
462,818,740
2,1322,2173
855,341,920
341,992,920
2028,341,855
246,1408,2200
1664,246,2200
2749,278,2748
2749,2750,982
278,2749,982
1509,1613,598
1509,1500,1613
1509,715,1904
1500,1509,1904
1587,79,2528
79,1587,823
426,759,1764
759,1806,1764
1806,759,2055
2055,759,603
759,426,603
2751,426,982
426,2751,2752
2750,2751,982
1381,2193,675
2193,1381,98
823,2193,98
1432,22,1331
1432,1013,22
66,2065,2173
22,2491,1331
1856,2244,208
2491,1856,1331
1856,2491,1318
2244,1856,2516
2432,133,387
361,870,1141
870,361,1796
197,1300,1488
1300,197,920
197,855,920
197,325,855
361,989,2248
989,2432,2248
2432,989,133
1254,1427,2242
1254,1272,1427
168,1254,2242
1254,168,1448
1254,1448,1350
1272,1254,1350
66,1595,22
22,1595,1350
1595,1272,1350
502,2028,855
325,502,855
750,502,1796
502,750,641
1448,1463,387
168,1463,1448
1463,2432,387
1463,168,2248
2432,1463,2248
2192,656,1017
656,1448,387
1017,656,387
656,2192,5
1759,524,2145
524,1759,594
2739,1975,1099
2739,2325,1975
2325,2739,2740
2738,2739,1099
2742,154,1663
2741,2742,1663
154,2742,2743
1579,331,1488
331,197,1488
197,331,325
870,331,1141
331,870,325
566,2746,2747
2746,1201,2745
2746,566,1201
2744,934,2743
934,2744,2745
2557,1561,2556
1837,2557,2558
1561,2557,1837
2356,71,838
